Restaurant Name,Country Code,City,Locality,Cuisines,cost,Has Table booking,Has Online delivery,Price range,rating,votes
Jahanpanah,1,Agra,Agra Cantt,"['North Indian', 'Mughlai']",850,No,No,3,3.9,140
Rangrezz Restaurant,1,Agra,Agra Cantt,"['North Indian', 'Mughlai']",700,No,No,2,3.5,71
Time2Eat - Mama Chicken,1,Agra,Agra Cantt,['North Indian'],500,No,No,2,3.6,94
Chokho Jeeman Marwari Jain Bhojanalya,1,Agra,Civil Lines,['Rajasthani'],400,No,No,2,4.0,87
Pinch Of Spice,1,Agra,Civil Lines,"['North Indian', 'Chinese', 'Mughlai']",1000,No,No,3,4.2,177
MoMo Cafe,1,Agra,"Courtyard by Marriott Agra, Tajganj","['North Indian', 'European']",2000,No,No,4,4.0,45
Peshawri - ITC Mughal,1,Agra,"ITC Mughal, Tajganj","['North Indian', 'Mughlai']",2500,No,No,4,4.3,133
Taj Bano - ITC Mughal,1,Agra,"ITC Mughal, Tajganj",['Mughlai'],2500,No,No,4,4.0,41
G Thal,1,Agra,Khandari,"['Rajasthani', 'Gujarati', 'Mughlai']",800,No,No,3,3.6,59
Dawat-e-Nawab - Radisson Blu,1,Agra,"Radisson Blu, Tajganj","['North Indian', 'Mughlai']",3600,No,No,4,3.8,46
The Latitude - Radisson Blu,1,Agra,"Radisson Blu, Tajganj","['North Indian', 'Chinese', 'Continental']",0,No,No,1,3.9,103
Dasaprakash Restaurant,1,Agra,Rakabganj,"['South Indian', 'Desserts']",550,No,No,2,4.1,121
The Charcoal Chimney,1,Agra,Tajganj,"['North Indian', 'Chinese', 'Continental', 'Mughlai']",1100,No,No,3,3.4,70
Sheroes Hangout,1,Agra,Tajganj,"['Cafe', 'North Indian', 'Chinese']",0,No,No,1,4.9,77
Bon Barbecue,1,Agra,Tajganj,"['North Indian', 'Chinese', 'Continental']",1500,No,No,4,3.8,57
Chapter 1 Cafe,1,Agra,Tajganj,"['Cafe', 'Italian', 'Mexican', 'North Indian', 'Continental']",0,No,No,1,3.9,98
Pind Balluchi,1,Agra,Tajganj,"['North Indian', 'Mughlai']",900,No,No,3,3.7,175
Pizza Hut,1,Agra,Tajganj,"['Italian', 'Pizza']",700,No,No,2,4.4,134
Tea'se Me - Rooftop Tea Boutique,1,Agra,Tajganj,"['Chinese', 'Italian', 'Continental', 'North Indian']",1000,No,No,3,4.2,166
Thaaliwala,1,Agra,Tajganj,"['North Indian', 'Fast Food']",700,No,No,2,4.1,168
650 - The Global Kitchen,1,Ahmedabad,Ambavadi,"['Chinese', 'Italian', 'North Indian', 'Mexican', 'Mediterranean', 'Thai']",900,No,No,3,4.2,1582
Patang - The Revolving Restaurant,1,Ahmedabad,Ashram Road,"['Continental', 'Chinese', 'North Indian']",1800,No,No,4,3.7,1315
Huber & Holly,1,Ahmedabad,Bodakdev,"['Ice Cream', 'Desserts', 'Continental']",300,No,Yes,1,4.5,217
@Mango,1,Ahmedabad,Bodakdev,"['North Indian', 'Continental', 'Mexican', 'Italian']",800,No,No,3,4.1,769
Fozzie's Pizzaiolo,1,Ahmedabad,Bodakdev,"['Pizza', 'Italian', 'Beverages', 'Desserts']",900,No,Yes,3,4.3,731
La Pino'z Pizza,1,Ahmedabad,Bodakdev,"['Pizza', 'Italian']",500,No,Yes,2,4.4,113
Mocha,1,Ahmedabad,Bodakdev,"['Cafe', 'Continental', 'Desserts']",1000,No,Yes,3,4.4,944
Blue -  Rooftop Cafe Restaurant Bistro,1,Ahmedabad,C G Road,"['North Indian', 'Cafe', 'Italian', 'Mexican', 'Continental']",1000,No,Yes,3,3.8,63
MoMo Cafí© - Courtyard By Marriott,1,Ahmedabad,"Courtyard By Marriott, Satellite","['North Indian', 'South Indian', 'Asian', 'Continental']",1400,No,No,3,3.6,375
Cryo Lab,1,Ahmedabad,Ellis Bridge,"['Desserts', 'Ice Cream']",350,No,No,2,4.6,166
Swati Snacks,1,Ahmedabad,Ellis Bridge,"['Fast Food', 'Street Food', 'South Indian']",450,No,No,2,4.4,697
Brick Kitchen,1,Ahmedabad,Ghatlodia,"['North Indian', 'Chinese', 'Continental']",900,No,No,3,4.3,325
Kabir Restaurant,1,Ahmedabad,Gurukul,"['North Indian', 'Chinese', 'Continental', 'Desserts', 'Fast Food', 'Sandwich']",600,No,Yes,2,3.8,432
Puffizza,1,Ahmedabad,Gurukul,"['Italian', 'Fast Food']",700,No,Yes,2,4.3,744
Cafe Alfresco,1,Ahmedabad,Navrangpura,"['Cafe', 'Beverages', 'Desserts', 'Pizza']",700,No,Yes,2,4.0,404
The Cafe Baraco,1,Ahmedabad,Navrangpura,"['Cafe', 'Italian']",600,No,Yes,2,4.4,317
Nini's Kitchen,1,Ahmedabad,Prahlad Nagar,"['North Indian', 'Continental', 'Beverages', 'Italian', 'Burger', 'Healthy Food', 'Mediterranean']",950,No,Yes,3,4.5,1138
Yanki Sizzlers,1,Ahmedabad,Thaltej,"['Continental', 'Italian', 'Chinese']",1200,No,No,3,4.1,1041
The Garden Cafe - The Fern,1,Ahmedabad,"The Fern, Sola","['North Indian', 'Italian', 'Asian', 'South Indian']",1200,No,No,3,4.1,192
Mazzo,1,Ahmedabad,Vastrapur,"['Cafe', 'American', 'Continental', 'Armenian', 'Fast Food']",550,No,Yes,2,3.9,166
Turquoise Villa,1,Ahmedabad,Vastrapur,['Continental'],1200,No,No,3,4.0,535
Aryan Family's Delight,1,Allahabad,Civil Lines,"['North Indian', 'South Indian', 'Fast Food']",500,No,No,3,3.4,57
